run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	submitted_ftp	sra_ftp	bam_ftp
ERR3668559	SAMEA6234673	ERX3660052	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668559/ERR3668559_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668559/ERR3668559_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668559/A169_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668559/A169_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/009/ERR3668559	
ERR3668564	SAMEA6234678	ERX3660057	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668564/ERR3668564_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668564/ERR3668564_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668564/A215_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668564/A215_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/004/ERR3668564	
ERR3668566	SAMEA6234680	ERX3660059	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668566/ERR3668566_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668566/ERR3668566_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668566/A235_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668566/A235_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/006/ERR3668566	
ERR3668570	SAMEA6234684	ERX3660063	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668570/ERR3668570_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668570/ERR3668570_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668570/A258_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668570/A258_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/000/ERR3668570	
ERR3668572	SAMEA6234686	ERX3660065	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668572/ERR3668572_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668572/ERR3668572_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668572/A262_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668572/A262_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/002/ERR3668572	
ERR3668533	SAMEA6234638	ERX3660026	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668533/ERR3668533_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668533/ERR3668533_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668533/A003_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668533/A003_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/003/ERR3668533	
ERR3668539	SAMEA6234653	ERX3660032	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668539/ERR3668539_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668539/ERR3668539_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668539/A042_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668539/A042_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/009/ERR3668539	
ERR3668546	SAMEA6234660	ERX3660039	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668546/ERR3668546_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668546/ERR3668546_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668546/A081_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668546/A081_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/006/ERR3668546	
ERR3668549	SAMEA6234663	ERX3660042	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668549/ERR3668549_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668549/ERR3668549_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668549/A114_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668549/A114_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/009/ERR3668549	
ERR3668551	SAMEA6234665	ERX3660044	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668551/ERR3668551_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668551/ERR3668551_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668551/A139_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668551/A139_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/001/ERR3668551	
ERR3668553	SAMEA6234667	ERX3660046	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668553/ERR3668553_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668553/ERR3668553_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668553/A145_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668553/A145_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/003/ERR3668553	
ERR3668554	SAMEA6234668	ERX3660047	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668554/ERR3668554_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/004/ERR3668554/ERR3668554_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668554/A146_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668554/A146_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/004/ERR3668554	
ERR3668555	SAMEA6234669	ERX3660048	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668555/ERR3668555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668555/ERR3668555_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668555/A147_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668555/A147_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/005/ERR3668555	
ERR3668556	SAMEA6234670	ERX3660049	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668556/ERR3668556_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668556/ERR3668556_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668556/A157_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668556/A157_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/006/ERR3668556	
ERR3668558	SAMEA6234672	ERX3660051	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668558/ERR3668558_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668558/ERR3668558_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668558/A167_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668558/A167_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/008/ERR3668558	
ERR3668560	SAMEA6234674	ERX3660053	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668560/ERR3668560_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668560/ERR3668560_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668560/A174_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668560/A174_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/000/ERR3668560	
ERR3668561	SAMEA6234675	ERX3660054	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668561/ERR3668561_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668561/ERR3668561_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668561/A181_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668561/A181_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/001/ERR3668561	
ERR3668562	SAMEA6234676	ERX3660055	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668562/ERR3668562_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668562/ERR3668562_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668562/A190_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668562/A190_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/002/ERR3668562	
ERR3668563	SAMEA6234677	ERX3660056	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668563/ERR3668563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/003/ERR3668563/ERR3668563_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668563/A209_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668563/A209_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/003/ERR3668563	
ERR3668565	SAMEA6234679	ERX3660058	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668565/ERR3668565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/005/ERR3668565/ERR3668565_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668565/A224_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668565/A224_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/005/ERR3668565	
ERR3668569	SAMEA6234683	ERX3660062	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668569/ERR3668569_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/009/ERR3668569/ERR3668569_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668569/A244_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668569/A244_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/009/ERR3668569	
ERR3668571	SAMEA6234685	ERX3660064	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668571/ERR3668571_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/001/ERR3668571/ERR3668571_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668571/A260_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668571/A260_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/001/ERR3668571	
ERR3668536	SAMEA6234650	ERX3660029	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668536/ERR3668536_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/006/ERR3668536/ERR3668536_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668536/A023_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668536/A023_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/006/ERR3668536	
ERR3668537	SAMEA6234651	ERX3660030	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668537/ERR3668537_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668537/ERR3668537_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668537/A035_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668537/A035_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/007/ERR3668537	
ERR3668538	SAMEA6234652	ERX3660031	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668538/ERR3668538_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668538/ERR3668538_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668538/A036_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668538/A036_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/008/ERR3668538	
ERR3668542	SAMEA6234656	ERX3660035	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668542/ERR3668542_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/002/ERR3668542/ERR3668542_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668542/A063_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668542/A063_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/002/ERR3668542	
ERR3668550	SAMEA6234664	ERX3660043	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668550/ERR3668550_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/000/ERR3668550/ERR3668550_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668550/A131_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668550/A131_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/000/ERR3668550	
ERR3668557	SAMEA6234671	ERX3660050	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668557/ERR3668557_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668557/ERR3668557_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668557/A160_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668557/A160_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/007/ERR3668557	
ERR3668567	SAMEA6234681	ERX3660060	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668567/ERR3668567_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/007/ERR3668567/ERR3668567_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668567/A239_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668567/A239_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/007/ERR3668567	
ERR3668568	SAMEA6234682	ERX3660061	PRJEB35434	749906	gut metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668568/ERR3668568_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR366/008/ERR3668568/ERR3668568_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668568/A243_R1.fastq.bz2;ftp.sra.ebi.ac.uk/vol1/run/ERR366/ERR3668568/A243_R2.fastq.bz2	ftp.sra.ebi.ac.uk/vol1/err/ERR366/008/ERR3668568	
